,nodes,rho,network,beta,lambda,physical_infectivity,factor,hidden_infectivity,aware,infected
0,100,0.2,barabassi,0.0,0.0,0.4,0.01,0.6,0.024193548387096774,0.01967741935483871
1,100,0.2,barabassi,0.0,0.05263157894736842,0.4,0.01,0.6,0.06193548387096774,0.011612903225806452
2,100,0.2,barabassi,0.0,0.10526315789473684,0.4,0.01,0.6,0.13806451612903226,0.011290322580645162
3,100,0.2,barabassi,0.0,0.15789473684210525,0.4,0.01,0.6,0.12806451612903225,0.01096774193548387
4,100,0.2,barabassi,0.0,0.21052631578947367,0.4,0.01,0.6,0.19,0.013548387096774193
5,100,0.2,barabassi,0.0,0.2631578947368421,0.4,0.01,0.6,0.1103225806451613,0.01096774193548387
6,100,0.2,barabassi,0.0,0.3157894736842105,0.4,0.01,0.6,0.11193548387096774,0.01096774193548387
7,100,0.2,barabassi,0.0,0.3684210526315789,0.4,0.01,0.6,0.11193548387096774,0.01096774193548387
8,100,0.2,barabassi,0.0,0.42105263157894735,0.4,0.01,0.6,0.11193548387096774,0.01096774193548387
9,100,0.2,barabassi,0.0,0.47368421052631576,0.4,0.01,0.6,0.11225806451612903,0.011290322580645162
10,100,0.2,barabassi,0.0,0.5263157894736842,0.4,0.01,0.6,0.11193548387096774,0.01096774193548387
11,100,0.2,barabassi,0.0,0.5789473684210527,0.4,0.01,0.6,0.14935483870967742,0.011612903225806452
12,100,0.2,barabassi,0.0,0.631578947368421,0.4,0.01,0.6,0.11,0.01096774193548387
13,100,0.2,barabassi,0.0,0.6842105263157894,0.4,0.01,0.6,0.11193548387096774,0.01096774193548387
14,100,0.2,barabassi,0.0,0.7368421052631579,0.4,0.01,0.6,0.11193548387096774,0.01096774193548387
15,100,0.2,barabassi,0.0,0.7894736842105263,0.4,0.01,0.6,0.11193548387096774,0.01096774193548387
16,100,0.2,barabassi,0.0,0.8421052631578947,0.4,0.01,0.6,0.11193548387096774,0.01096774193548387
17,100,0.2,barabassi,0.0,0.894736842105263,0.4,0.01,0.6,0.08838709677419354,0.01064516129032258
18,100,0.2,barabassi,0.0,0.9473684210526315,0.4,0.01,0.6,0.11193548387096774,0.01096774193548387
19,100,0.2,barabassi,0.0,1.0,0.4,0.01,0.6,0.11225806451612903,0.011290322580645162
20,100,0.2,barabassi,0.05263157894736842,0.0,0.4,0.01,0.6,0.4403225806451613,0.3596774193548387
21,100,0.2,barabassi,0.05263157894736842,0.05263157894736842,0.4,0.01,0.6,0.6438709677419355,0.31387096774193546
22,100,0.2,barabassi,0.05263157894736842,0.10526315789473684,0.4,0.01,0.6,0.7006451612903226,0.292258064516129
23,100,0.2,barabassi,0.05263157894736842,0.15789473684210525,0.4,0.01,0.6,0.7164516129032258,0.2929032258064516
24,100,0.2,barabassi,0.05263157894736842,0.21052631578947367,0.4,0.01,0.6,0.7283870967741936,0.29612903225806453
25,100,0.2,barabassi,0.05263157894736842,0.2631578947368421,0.4,0.01,0.6,0.7206451612903225,0.2803225806451613
26,100,0.2,barabassi,0.05263157894736842,0.3157894736842105,0.4,0.01,0.6,0.7241935483870968,0.28161290322580645
27,100,0.2,barabassi,0.05263157894736842,0.3684210526315789,0.4,0.01,0.6,0.7258064516129032,0.28580645161290325
28,100,0.2,barabassi,0.05263157894736842,0.42105263157894735,0.4,0.01,0.6,0.7241935483870968,0.2806451612903226
29,100,0.2,barabassi,0.05263157894736842,0.47368421052631576,0.4,0.01,0.6,0.7287096774193549,0.2948387096774194
30,100,0.2,barabassi,0.05263157894736842,0.5263157894736842,0.4,0.01,0.6,0.7312903225806451,0.27838709677419354
31,100,0.2,barabassi,0.05263157894736842,0.5789473684210527,0.4,0.01,0.6,0.7325806451612904,0.30032258064516126
32,100,0.2,barabassi,0.05263157894736842,0.631578947368421,0.4,0.01,0.6,0.7309677419354839,0.3016129032258064
33,100,0.2,barabassi,0.05263157894736842,0.6842105263157894,0.4,0.01,0.6,0.7290322580645161,0.2890322580645161
34,100,0.2,barabassi,0.05263157894736842,0.7368421052631579,0.4,0.01,0.6,0.727741935483871,0.2819354838709678
35,100,0.2,barabassi,0.05263157894736842,0.7894736842105263,0.4,0.01,0.6,0.7270967741935483,0.2861290322580645
36,100,0.2,barabassi,0.05263157894736842,0.8421052631578947,0.4,0.01,0.6,0.7270967741935483,0.2835483870967742
37,100,0.2,barabassi,0.05263157894736842,0.894736842105263,0.4,0.01,0.6,0.7296774193548388,0.2932258064516129
38,100,0.2,barabassi,0.05263157894736842,0.9473684210526315,0.4,0.01,0.6,0.7296774193548388,0.2829032258064516
39,100,0.2,barabassi,0.05263157894736842,1.0,0.4,0.01,0.6,0.7274193548387096,0.2854838709677419
40,100,0.2,barabassi,0.10526315789473684,0.0,0.4,0.01,0.6,0.6174193548387097,0.5112903225806452
41,100,0.2,barabassi,0.10526315789473684,0.05263157894736842,0.4,0.01,0.6,0.7180645161290323,0.42677419354838714
42,100,0.2,barabassi,0.10526315789473684,0.10526315789473684,0.4,0.01,0.6,0.7490322580645161,0.40064516129032257
43,100,0.2,barabassi,0.10526315789473684,0.15789473684210525,0.4,0.01,0.6,0.7738709677419355,0.39096774193548384
44,100,0.2,barabassi,0.10526315789473684,0.21052631578947367,0.4,0.01,0.6,0.7748387096774194,0.39838709677419354
45,100,0.2,barabassi,0.10526315789473684,0.2631578947368421,0.4,0.01,0.6,0.7709677419354839,0.3664516129032258
46,100,0.2,barabassi,0.10526315789473684,0.3157894736842105,0.4,0.01,0.6,0.7761290322580645,0.38193548387096776
47,100,0.2,barabassi,0.10526315789473684,0.3684210526315789,0.4,0.01,0.6,0.7738709677419355,0.39774193548387093
48,100,0.2,barabassi,0.10526315789473684,0.42105263157894735,0.4,0.01,0.6,0.7764516129032257,0.387741935483871
49,100,0.2,barabassi,0.10526315789473684,0.47368421052631576,0.4,0.01,0.6,0.7696774193548387,0.37032258064516127
50,100,0.2,barabassi,0.10526315789473684,0.5263157894736842,0.4,0.01,0.6,0.7816129032258065,0.39354838709677414
51,100,0.2,barabassi,0.10526315789473684,0.5789473684210527,0.4,0.01,0.6,0.7758064516129032,0.3925806451612903
52,100,0.2,barabassi,0.10526315789473684,0.631578947368421,0.4,0.01,0.6,0.7712903225806451,0.387741935483871
53,100,0.2,barabassi,0.10526315789473684,0.6842105263157894,0.4,0.01,0.6,0.7764516129032257,0.3912903225806452
54,100,0.2,barabassi,0.10526315789473684,0.7368421052631579,0.4,0.01,0.6,0.7651612903225806,0.3829032258064516
55,100,0.2,barabassi,0.10526315789473684,0.7894736842105263,0.4,0.01,0.6,0.775483870967742,0.38548387096774195
56,100,0.2,barabassi,0.10526315789473684,0.8421052631578947,0.4,0.01,0.6,0.7725806451612904,0.3858064516129032
57,100,0.2,barabassi,0.10526315789473684,0.894736842105263,0.4,0.01,0.6,0.7709677419354839,0.3716129032258065
58,100,0.2,barabassi,0.10526315789473684,0.9473684210526315,0.4,0.01,0.6,0.7770967741935483,0.3829032258064516
59,100,0.2,barabassi,0.10526315789473684,1.0,0.4,0.01,0.6,0.7745161290322581,0.38806451612903226
60,100,0.2,barabassi,0.15789473684210525,0.0,0.4,0.01,0.6,0.6906451612903226,0.5661290322580644
61,100,0.2,barabassi,0.15789473684210525,0.05263157894736842,0.4,0.01,0.6,0.7551612903225806,0.4912903225806452
62,100,0.2,barabassi,0.15789473684210525,0.10526315789473684,0.4,0.01,0.6,0.7793548387096775,0.4441935483870968
63,100,0.2,barabassi,0.15789473684210525,0.15789473684210525,0.4,0.01,0.6,0.792258064516129,0.44903225806451613
64,100,0.2,barabassi,0.15789473684210525,0.21052631578947367,0.4,0.01,0.6,0.7925806451612903,0.4232258064516129
65,100,0.2,barabassi,0.15789473684210525,0.2631578947368421,0.4,0.01,0.6,0.7954838709677419,0.4287096774193548
66,100,0.2,barabassi,0.15789473684210525,0.3157894736842105,0.4,0.01,0.6,0.7951612903225806,0.4270967741935484
67,100,0.2,barabassi,0.15789473684210525,0.3684210526315789,0.4,0.01,0.6,0.8003225806451613,0.4312903225806452
68,100,0.2,barabassi,0.15789473684210525,0.42105263157894735,0.4,0.01,0.6,0.79,0.4141935483870968
69,100,0.2,barabassi,0.15789473684210525,0.47368421052631576,0.4,0.01,0.6,0.7990322580645162,0.43451612903225806
70,100,0.2,barabassi,0.15789473684210525,0.5263157894736842,0.4,0.01,0.6,0.7896774193548387,0.43193548387096775
71,100,0.2,barabassi,0.15789473684210525,0.5789473684210527,0.4,0.01,0.6,0.7958064516129032,0.4316129032258065
72,100,0.2,barabassi,0.15789473684210525,0.631578947368421,0.4,0.01,0.6,0.7906451612903226,0.41870967741935483
73,100,0.2,barabassi,0.15789473684210525,0.6842105263157894,0.4,0.01,0.6,0.7948387096774193,0.43064516129032254
74,100,0.2,barabassi,0.15789473684210525,0.7368421052631579,0.4,0.01,0.6,0.7967741935483871,0.43935483870967745
75,100,0.2,barabassi,0.15789473684210525,0.7894736842105263,0.4,0.01,0.6,0.7896774193548387,0.43193548387096775
76,100,0.2,barabassi,0.15789473684210525,0.8421052631578947,0.4,0.01,0.6,0.7912903225806451,0.43451612903225806
77,100,0.2,barabassi,0.15789473684210525,0.894736842105263,0.4,0.01,0.6,0.7974193548387096,0.432258064516129
78,100,0.2,barabassi,0.15789473684210525,0.9473684210526315,0.4,0.01,0.6,0.7945161290322581,0.42645161290322586
79,100,0.2,barabassi,0.15789473684210525,1.0,0.4,0.01,0.6,0.7912903225806451,0.42516129032258065
80,100,0.2,barabassi,0.21052631578947367,0.0,0.4,0.01,0.6,0.7109677419354838,0.5841935483870968
81,100,0.2,barabassi,0.21052631578947367,0.05263157894736842,0.4,0.01,0.6,0.7751612903225806,0.5077419354838709
82,100,0.2,barabassi,0.21052631578947367,0.10526315789473684,0.4,0.01,0.6,0.7967741935483871,0.4829032258064516
83,100,0.2,barabassi,0.21052631578947367,0.15789473684210525,0.4,0.01,0.6,0.7954838709677419,0.4541935483870968
84,100,0.2,barabassi,0.21052631578947367,0.21052631578947367,0.4,0.01,0.6,0.8077419354838711,0.46
85,100,0.2,barabassi,0.21052631578947367,0.2631578947368421,0.4,0.01,0.6,0.8083870967741936,0.4554838709677419
86,100,0.2,barabassi,0.21052631578947367,0.3157894736842105,0.4,0.01,0.6,0.8,0.4435483870967742
87,100,0.2,barabassi,0.21052631578947367,0.3684210526315789,0.4,0.01,0.6,0.8025806451612904,0.44322580645161286
88,100,0.2,barabassi,0.21052631578947367,0.42105263157894735,0.4,0.01,0.6,0.8125806451612904,0.46483870967741936
89,100,0.2,barabassi,0.21052631578947367,0.47368421052631576,0.4,0.01,0.6,0.8067741935483871,0.4545161290322581
90,100,0.2,barabassi,0.21052631578947367,0.5263157894736842,0.4,0.01,0.6,0.8158064516129032,0.45096774193548383
91,100,0.2,barabassi,0.21052631578947367,0.5789473684210527,0.4,0.01,0.6,0.8006451612903226,0.4458064516129032
92,100,0.2,barabassi,0.21052631578947367,0.631578947368421,0.4,0.01,0.6,0.8032258064516129,0.4387096774193548
93,100,0.2,barabassi,0.21052631578947367,0.6842105263157894,0.4,0.01,0.6,0.8087096774193548,0.4612903225806452
94,100,0.2,barabassi,0.21052631578947367,0.7368421052631579,0.4,0.01,0.6,0.8025806451612904,0.4425806451612903
95,100,0.2,barabassi,0.21052631578947367,0.7894736842105263,0.4,0.01,0.6,0.8019354838709677,0.4474193548387097
96,100,0.2,barabassi,0.21052631578947367,0.8421052631578947,0.4,0.01,0.6,0.8009677419354838,0.4403225806451613
97,100,0.2,barabassi,0.21052631578947367,0.894736842105263,0.4,0.01,0.6,0.8122580645161289,0.4554838709677419
98,100,0.2,barabassi,0.21052631578947367,0.9473684210526315,0.4,0.01,0.6,0.8103225806451613,0.457741935483871
99,100,0.2,barabassi,0.21052631578947367,1.0,0.4,0.01,0.6,0.8135483870967742,0.4616129032258065
100,100,0.2,barabassi,0.2631578947368421,0.0,0.4,0.01,0.6,0.7283870967741936,0.5912903225806452
101,100,0.2,barabassi,0.2631578947368421,0.05263157894736842,0.4,0.01,0.6,0.7858064516129032,0.5293548387096775
102,100,0.2,barabassi,0.2631578947368421,0.10526315789473684,0.4,0.01,0.6,0.8064516129032258,0.4970967741935484
103,100,0.2,barabassi,0.2631578947368421,0.15789473684210525,0.4,0.01,0.6,0.8051612903225807,0.4812903225806452
104,100,0.2,barabassi,0.2631578947368421,0.21052631578947367,0.4,0.01,0.6,0.8132258064516129,0.48
105,100,0.2,barabassi,0.2631578947368421,0.2631578947368421,0.4,0.01,0.6,0.8209677419354838,0.47774193548387095
106,100,0.2,barabassi,0.2631578947368421,0.3157894736842105,0.4,0.01,0.6,0.8074193548387096,0.4654838709677419
107,100,0.2,barabassi,0.2631578947368421,0.3684210526315789,0.4,0.01,0.6,0.8116129032258064,0.46387096774193554
108,100,0.2,barabassi,0.2631578947368421,0.42105263157894735,0.4,0.01,0.6,0.8103225806451613,0.447741935483871
109,100,0.2,barabassi,0.2631578947368421,0.47368421052631576,0.4,0.01,0.6,0.8170967741935483,0.4729032258064516
110,100,0.2,barabassi,0.2631578947368421,0.5263157894736842,0.4,0.01,0.6,0.8122580645161289,0.46645161290322584
111,100,0.2,barabassi,0.2631578947368421,0.5789473684210527,0.4,0.01,0.6,0.8087096774193548,0.4603225806451613
112,100,0.2,barabassi,0.2631578947368421,0.631578947368421,0.4,0.01,0.6,0.81,0.457741935483871
113,100,0.2,barabassi,0.2631578947368421,0.6842105263157894,0.4,0.01,0.6,0.8145161290322581,0.4729032258064516
114,100,0.2,barabassi,0.2631578947368421,0.7368421052631579,0.4,0.01,0.6,0.8141935483870968,0.46774193548387094
115,100,0.2,barabassi,0.2631578947368421,0.7894736842105263,0.4,0.01,0.6,0.8122580645161289,0.4732258064516129
116,100,0.2,barabassi,0.2631578947368421,0.8421052631578947,0.4,0.01,0.6,0.8151612903225807,0.4706451612903226
117,100,0.2,barabassi,0.2631578947368421,0.894736842105263,0.4,0.01,0.6,0.8167741935483871,0.47258064516129034
118,100,0.2,barabassi,0.2631578947368421,0.9473684210526315,0.4,0.01,0.6,0.8212903225806452,0.46516129032258063
119,100,0.2,barabassi,0.2631578947368421,1.0,0.4,0.01,0.6,0.8145161290322581,0.45903225806451614
120,100,0.2,barabassi,0.3157894736842105,0.0,0.4,0.01,0.6,0.7461290322580645,0.6151612903225806
121,100,0.2,barabassi,0.3157894736842105,0.05263157894736842,0.4,0.01,0.6,0.7990322580645162,0.5332258064516129
122,100,0.2,barabassi,0.3157894736842105,0.10526315789473684,0.4,0.01,0.6,0.8064516129032258,0.4961290322580645
123,100,0.2,barabassi,0.3157894736842105,0.15789473684210525,0.4,0.01,0.6,0.8154838709677419,0.4996774193548387
124,100,0.2,barabassi,0.3157894736842105,0.21052631578947367,0.4,0.01,0.6,0.8177419354838711,0.47774193548387095
125,100,0.2,barabassi,0.3157894736842105,0.2631578947368421,0.4,0.01,0.6,0.8196774193548387,0.49
126,100,0.2,barabassi,0.3157894736842105,0.3157894736842105,0.4,0.01,0.6,0.8132258064516129,0.47903225806451616
127,100,0.2,barabassi,0.3157894736842105,0.3684210526315789,0.4,0.01,0.6,0.8212903225806452,0.48258064516129034
128,100,0.2,barabassi,0.3157894736842105,0.42105263157894735,0.4,0.01,0.6,0.8235483870967742,0.4838709677419355
129,100,0.2,barabassi,0.3157894736842105,0.47368421052631576,0.4,0.01,0.6,0.8193548387096774,0.4806451612903226
130,100,0.2,barabassi,0.3157894736842105,0.5263157894736842,0.4,0.01,0.6,0.8193548387096774,0.4783870967741935
131,100,0.2,barabassi,0.3157894736842105,0.5789473684210527,0.4,0.01,0.6,0.8222580645161289,0.48193548387096774
132,100,0.2,barabassi,0.3157894736842105,0.631578947368421,0.4,0.01,0.6,0.8174193548387096,0.4767741935483871
133,100,0.2,barabassi,0.3157894736842105,0.6842105263157894,0.4,0.01,0.6,0.8180645161290323,0.4845161290322581
134,100,0.2,barabassi,0.3157894736842105,0.7368421052631579,0.4,0.01,0.6,0.8229032258064517,0.4845161290322581
135,100,0.2,barabassi,0.3157894736842105,0.7894736842105263,0.4,0.01,0.6,0.8148387096774193,0.47258064516129034
136,100,0.2,barabassi,0.3157894736842105,0.8421052631578947,0.4,0.01,0.6,0.8190322580645162,0.4780645161290322
137,100,0.2,barabassi,0.3157894736842105,0.894736842105263,0.4,0.01,0.6,0.82,0.4883870967741935
138,100,0.2,barabassi,0.3157894736842105,0.9473684210526315,0.4,0.01,0.6,0.82,0.4887096774193548
139,100,0.2,barabassi,0.3157894736842105,1.0,0.4,0.01,0.6,0.8216129032258064,0.48193548387096774
140,100,0.2,barabassi,0.3684210526315789,0.0,0.4,0.01,0.6,0.7574193548387096,0.6174193548387097
