,nodes,rho,network,beta,lambda,physical_infectivity,factor,hidden_infectivity,aware,infected
0,1000,0.2,barabassi,0.0,0.0,0.4,0.01,0.6,0.01870967741935484,0.014516129032258063
1,1000,0.2,barabassi,0.0,0.05263157894736842,0.4,0.01,0.6,0.14861290322580648,0.016741935483870967
2,1000,0.2,barabassi,0.0,0.10526315789473684,0.4,0.01,0.6,0.2525483870967742,0.01603225806451613
3,1000,0.2,barabassi,0.0,0.15789473684210525,0.4,0.01,0.6,0.20280645161290323,0.016
4,1000,0.2,barabassi,0.0,0.21052631578947367,0.4,0.01,0.6,0.30964516129032255,0.01809677419354839
5,1000,0.2,barabassi,0.0,0.2631578947368421,0.4,0.01,0.6,0.26083870967741934,0.018129032258064517
6,1000,0.2,barabassi,0.0,0.3157894736842105,0.4,0.01,0.6,0.3440967741935484,0.014741935483870969
7,1000,0.2,barabassi,0.0,0.3684210526315789,0.4,0.01,0.6,0.21335483870967742,0.01735483870967742
8,1000,0.2,barabassi,0.0,0.42105263157894735,0.4,0.01,0.6,0.29138709677419355,0.016741935483870967
9,1000,0.2,barabassi,0.0,0.47368421052631576,0.4,0.01,0.6,0.2754516129032258,0.01754838709677419
10,1000,0.2,barabassi,0.0,0.5263157894736842,0.4,0.01,0.6,0.31425806451612903,0.015774193548387095
11,1000,0.2,barabassi,0.0,0.5789473684210527,0.4,0.01,0.6,0.2549677419354839,0.01635483870967742
12,1000,0.2,barabassi,0.0,0.631578947368421,0.4,0.01,0.6,0.3773225806451613,0.01535483870967742
13,1000,0.2,barabassi,0.0,0.6842105263157894,0.4,0.01,0.6,0.17493548387096775,0.016419354838709675
14,1000,0.2,barabassi,0.0,0.7368421052631579,0.4,0.01,0.6,0.2565483870967742,0.01690322580645161
15,1000,0.2,barabassi,0.0,0.7894736842105263,0.4,0.01,0.6,0.2373548387096774,0.016806451612903225
16,1000,0.2,barabassi,0.0,0.8421052631578947,0.4,0.01,0.6,0.21529032258064515,0.015709677419354837
17,1000,0.2,barabassi,0.0,0.894736842105263,0.4,0.01,0.6,0.25767741935483873,0.017258064516129032
18,1000,0.2,barabassi,0.0,0.9473684210526315,0.4,0.01,0.6,0.19603225806451613,0.014580645161290323
19,1000,0.2,barabassi,0.0,1.0,0.4,0.01,0.6,0.3390967741935484,0.01496774193548387
20,1000,0.2,barabassi,0.05263157894736842,0.0,0.4,0.01,0.6,0.5618387096774193,0.44606451612903225
21,1000,0.2,barabassi,0.05263157894736842,0.05263157894736842,0.4,0.01,0.6,0.6753870967741935,0.3865483870967742
22,1000,0.2,barabassi,0.05263157894736842,0.10526315789473684,0.4,0.01,0.6,0.7116451612903225,0.3524516129032258
23,1000,0.2,barabassi,0.05263157894736842,0.15789473684210525,0.4,0.01,0.6,0.7372903225806451,0.33722580645161293
24,1000,0.2,barabassi,0.05263157894736842,0.21052631578947367,0.4,0.01,0.6,0.7511290322580645,0.3335483870967742
25,1000,0.2,barabassi,0.05263157894736842,0.2631578947368421,0.4,0.01,0.6,0.751774193548387,0.3205806451612903
26,1000,0.2,barabassi,0.05263157894736842,0.3157894736842105,0.4,0.01,0.6,0.7563870967741936,0.3180967741935484
27,1000,0.2,barabassi,0.05263157894736842,0.3684210526315789,0.4,0.01,0.6,0.7587419354838709,0.31848387096774194
28,1000,0.2,barabassi,0.05263157894736842,0.42105263157894735,0.4,0.01,0.6,0.7605483870967742,0.31883870967741934
29,1000,0.2,barabassi,0.05263157894736842,0.47368421052631576,0.4,0.01,0.6,0.7609677419354839,0.311
30,1000,0.2,barabassi,0.05263157894736842,0.5263157894736842,0.4,0.01,0.6,0.7620967741935484,0.3119677419354838
31,1000,0.2,barabassi,0.05263157894736842,0.5789473684210527,0.4,0.01,0.6,0.7628709677419355,0.31535483870967745
32,1000,0.2,barabassi,0.05263157894736842,0.631578947368421,0.4,0.01,0.6,0.7652903225806451,0.31435483870967745
33,1000,0.2,barabassi,0.05263157894736842,0.6842105263157894,0.4,0.01,0.6,0.762258064516129,0.3137096774193548
34,1000,0.2,barabassi,0.05263157894736842,0.7368421052631579,0.4,0.01,0.6,0.7626129032258064,0.3155483870967742
35,1000,0.2,barabassi,0.05263157894736842,0.7894736842105263,0.4,0.01,0.6,0.761258064516129,0.3082258064516129
36,1000,0.2,barabassi,0.05263157894736842,0.8421052631578947,0.4,0.01,0.6,0.7606129032258064,0.31135483870967745
37,1000,0.2,barabassi,0.05263157894736842,0.894736842105263,0.4,0.01,0.6,0.7647419354838709,0.32245161290322577
38,1000,0.2,barabassi,0.05263157894736842,0.9473684210526315,0.4,0.01,0.6,0.7645161290322581,0.3191290322580645
39,1000,0.2,barabassi,0.05263157894736842,1.0,0.4,0.01,0.6,0.758774193548387,0.30754838709677423
40,1000,0.2,barabassi,0.10526315789473684,0.0,0.4,0.01,0.6,0.6793225806451614,0.542
41,1000,0.2,barabassi,0.10526315789473684,0.05263157894736842,0.4,0.01,0.6,0.7567096774193549,0.4820645161290323
42,1000,0.2,barabassi,0.10526315789473684,0.10526315789473684,0.4,0.01,0.6,0.7749354838709677,0.44729032258064516
43,1000,0.2,barabassi,0.10526315789473684,0.15789473684210525,0.4,0.01,0.6,0.7921935483870969,0.4365806451612903
44,1000,0.2,barabassi,0.10526315789473684,0.21052631578947367,0.4,0.01,0.6,0.797258064516129,0.42093548387096774
45,1000,0.2,barabassi,0.10526315789473684,0.2631578947368421,0.4,0.01,0.6,0.803516129032258,0.4200645161290323
46,1000,0.2,barabassi,0.10526315789473684,0.3157894736842105,0.4,0.01,0.6,0.804516129032258,0.4145483870967742
47,1000,0.2,barabassi,0.10526315789473684,0.3684210526315789,0.4,0.01,0.6,0.8052258064516129,0.40751612903225803
48,1000,0.2,barabassi,0.10526315789473684,0.42105263157894735,0.4,0.01,0.6,0.8071612903225807,0.410258064516129
49,1000,0.2,barabassi,0.10526315789473684,0.47368421052631576,0.4,0.01,0.6,0.8073870967741935,0.40919354838709676
50,1000,0.2,barabassi,0.10526315789473684,0.5263157894736842,0.4,0.01,0.6,0.8072903225806451,0.407258064516129
51,1000,0.2,barabassi,0.10526315789473684,0.5789473684210527,0.4,0.01,0.6,0.8099032258064516,0.4106774193548387
52,1000,0.2,barabassi,0.10526315789473684,0.631578947368421,0.4,0.01,0.6,0.8074516129032259,0.4074516129032258
53,1000,0.2,barabassi,0.10526315789473684,0.6842105263157894,0.4,0.01,0.6,0.8058064516129032,0.4091290322580645
54,1000,0.2,barabassi,0.10526315789473684,0.7368421052631579,0.4,0.01,0.6,0.807258064516129,0.4051612903225807
55,1000,0.2,barabassi,0.10526315789473684,0.7894736842105263,0.4,0.01,0.6,0.808741935483871,0.4068709677419355
56,1000,0.2,barabassi,0.10526315789473684,0.8421052631578947,0.4,0.01,0.6,0.8072903225806451,0.4098709677419355
57,1000,0.2,barabassi,0.10526315789473684,0.894736842105263,0.4,0.01,0.6,0.8053870967741935,0.40896774193548385
58,1000,0.2,barabassi,0.10526315789473684,0.9473684210526315,0.4,0.01,0.6,0.8093225806451614,0.40748387096774197
59,1000,0.2,barabassi,0.10526315789473684,1.0,0.4,0.01,0.6,0.8084193548387096,0.40996774193548385
60,1000,0.2,barabassi,0.15789473684210525,0.0,0.4,0.01,0.6,0.7420967741935484,0.5941290322580645
61,1000,0.2,barabassi,0.15789473684210525,0.05263157894736842,0.4,0.01,0.6,0.786258064516129,0.5199032258064515
62,1000,0.2,barabassi,0.15789473684210525,0.10526315789473684,0.4,0.01,0.6,0.8060645161290323,0.48848387096774193
63,1000,0.2,barabassi,0.15789473684210525,0.15789473684210525,0.4,0.01,0.6,0.8152258064516129,0.4728387096774193
64,1000,0.2,barabassi,0.15789473684210525,0.21052631578947367,0.4,0.01,0.6,0.8220322580645161,0.4646451612903226
65,1000,0.2,barabassi,0.15789473684210525,0.2631578947368421,0.4,0.01,0.6,0.8224516129032259,0.45980645161290323
66,1000,0.2,barabassi,0.15789473684210525,0.3157894736842105,0.4,0.01,0.6,0.8282258064516129,0.4569354838709677
67,1000,0.2,barabassi,0.15789473684210525,0.3684210526315789,0.4,0.01,0.6,0.8272903225806452,0.4551612903225807
68,1000,0.2,barabassi,0.15789473684210525,0.42105263157894735,0.4,0.01,0.6,0.828258064516129,0.45583870967741935
69,1000,0.2,barabassi,0.15789473684210525,0.47368421052631576,0.4,0.01,0.6,0.8263225806451613,0.4503225806451613
70,1000,0.2,barabassi,0.15789473684210525,0.5263157894736842,0.4,0.01,0.6,0.8248709677419355,0.4524193548387097
71,1000,0.2,barabassi,0.15789473684210525,0.5789473684210527,0.4,0.01,0.6,0.8285806451612904,0.45248387096774195
72,1000,0.2,barabassi,0.15789473684210525,0.631578947368421,0.4,0.01,0.6,0.8285806451612904,0.4569032258064516
73,1000,0.2,barabassi,0.15789473684210525,0.6842105263157894,0.4,0.01,0.6,0.8287741935483871,0.45293548387096777
74,1000,0.2,barabassi,0.15789473684210525,0.7368421052631579,0.4,0.01,0.6,0.829258064516129,0.4527096774193548
75,1000,0.2,barabassi,0.15789473684210525,0.7894736842105263,0.4,0.01,0.6,0.8286774193548386,0.4585483870967742
76,1000,0.2,barabassi,0.15789473684210525,0.8421052631578947,0.4,0.01,0.6,0.8284516129032259,0.4507096774193548
77,1000,0.2,barabassi,0.15789473684210525,0.894736842105263,0.4,0.01,0.6,0.8260645161290323,0.448
78,1000,0.2,barabassi,0.15789473684210525,0.9473684210526315,0.4,0.01,0.6,0.8247741935483871,0.44725806451612904
79,1000,0.2,barabassi,0.15789473684210525,1.0,0.4,0.01,0.6,0.830967741935484,0.4534516129032258
80,1000,0.2,barabassi,0.21052631578947367,0.0,0.4,0.01,0.6,0.761225806451613,0.6073548387096774
81,1000,0.2,barabassi,0.21052631578947367,0.05263157894736842,0.4,0.01,0.6,0.8053225806451614,0.544483870967742
82,1000,0.2,barabassi,0.21052631578947367,0.10526315789473684,0.4,0.01,0.6,0.8251290322580646,0.5187096774193549
83,1000,0.2,barabassi,0.21052631578947367,0.15789473684210525,0.4,0.01,0.6,0.8300967741935484,0.4998709677419355
84,1000,0.2,barabassi,0.21052631578947367,0.21052631578947367,0.4,0.01,0.6,0.833967741935484,0.4906129032258065
85,1000,0.2,barabassi,0.21052631578947367,0.2631578947368421,0.4,0.01,0.6,0.8360967741935484,0.48503225806451616
86,1000,0.2,barabassi,0.21052631578947367,0.3157894736842105,0.4,0.01,0.6,0.8398387096774194,0.4902903225806452
87,1000,0.2,barabassi,0.21052631578947367,0.3684210526315789,0.4,0.01,0.6,0.8351290322580646,0.47793548387096774
88,1000,0.2,barabassi,0.21052631578947367,0.42105263157894735,0.4,0.01,0.6,0.836741935483871,0.48003225806451616
89,1000,0.2,barabassi,0.21052631578947367,0.47368421052631576,0.4,0.01,0.6,0.8390967741935484,0.47896774193548386
90,1000,0.2,barabassi,0.21052631578947367,0.5263157894736842,0.4,0.01,0.6,0.838,0.4716774193548387
91,1000,0.2,barabassi,0.21052631578947367,0.5789473684210527,0.4,0.01,0.6,0.8391935483870968,0.4806451612903226
92,1000,0.2,barabassi,0.21052631578947367,0.631578947368421,0.4,0.01,0.6,0.8395483870967742,0.4798387096774193
93,1000,0.2,barabassi,0.21052631578947367,0.6842105263157894,0.4,0.01,0.6,0.8383225806451613,0.479258064516129
94,1000,0.2,barabassi,0.21052631578947367,0.7368421052631579,0.4,0.01,0.6,0.8393548387096774,0.4785806451612903
95,1000,0.2,barabassi,0.21052631578947367,0.7894736842105263,0.4,0.01,0.6,0.8384193548387097,0.4771290322580645
