nodes,rho,network,beta,lambda,factor,physical_infectivity,hidden_infectivity,aware,infected
100,0.2,barabassi,0.0,0.0,0.01,0.0,0.0,0.9725806451612903,0.20000000000000007
100,0.2,barabassi,0.0,0.1,0.01,0.0,0.0,0.9725806451612903,0.20000000000000007
100,0.2,barabassi,0.0,0.2,0.01,0.0,0.0,0.9725806451612903,0.20000000000000007
100,0.2,barabassi,0.0,0.3,0.01,0.0,0.0,0.9725806451612903,0.20000000000000007
100,0.2,barabassi,0.0,0.4,0.01,0.0,0.0,0.9725806451612903,0.20000000000000007
100,0.2,barabassi,0.0,0.5,0.01,0.0,0.0,0.9725806451612903,0.20000000000000007
100,0.2,barabassi,0.0,0.6,0.01,0.0,0.0,0.9725806451612903,0.20000000000000007
100,0.2,barabassi,0.0,0.7,0.01,0.0,0.0,0.9725806451612903,0.20000000000000007
100,0.2,barabassi,0.0,0.8,0.01,0.0,0.0,0.9725806451612903,0.20000000000000007
100,0.2,barabassi,0.0,0.9,0.01,0.0,0.0,0.9725806451612903,0.20000000000000007
100,0.2,barabassi,0.0,1.0,0.01,0.0,0.0,0.9725806451612903,0.20000000000000007
100,0.2,barabassi,0.1,0.0,0.01,0.0,0.0,0.9725806451612903,0.2093548387096774
100,0.2,barabassi,0.1,0.1,0.01,0.0,0.0,0.9725806451612903,0.2093548387096774
100,0.2,barabassi,0.1,0.2,0.01,0.0,0.0,0.9725806451612903,0.2093548387096774
100,0.2,barabassi,0.1,0.3,0.01,0.0,0.0,0.9725806451612903,0.2093548387096774
100,0.2,barabassi,0.1,0.4,0.01,0.0,0.0,0.9725806451612903,0.2093548387096774
100,0.2,barabassi,0.1,0.5,0.01,0.0,0.0,0.9725806451612903,0.2093548387096774
100,0.2,barabassi,0.1,0.6,0.01,0.0,0.0,0.9725806451612903,0.2093548387096774
100,0.2,barabassi,0.1,0.7,0.01,0.0,0.0,0.9725806451612903,0.2093548387096774
100,0.2,barabassi,0.1,0.8,0.01,0.0,0.0,0.9725806451612903,0.2093548387096774
100,0.2,barabassi,0.1,0.9,0.01,0.0,0.0,0.9725806451612903,0.2093548387096774
100,0.2,barabassi,0.1,1.0,0.01,0.0,0.0,0.9725806451612903,0.2093548387096774
100,0.2,barabassi,0.2,0.0,0.01,0.0,0.0,0.9725806451612903,0.27290322580645165
100,0.2,barabassi,0.2,0.1,0.01,0.0,0.0,0.9725806451612903,0.25387096774193546
100,0.2,barabassi,0.2,0.2,0.01,0.0,0.0,0.9725806451612903,0.25387096774193546
100,0.2,barabassi,0.2,0.3,0.01,0.0,0.0,0.9725806451612903,0.25387096774193546
100,0.2,barabassi,0.2,0.4,0.01,0.0,0.0,0.9725806451612903,0.25387096774193546
100,0.2,barabassi,0.2,0.5,0.01,0.0,0.0,0.9725806451612903,0.25387096774193546
100,0.2,barabassi,0.2,0.6,0.01,0.0,0.0,0.9725806451612903,0.25387096774193546
100,0.2,barabassi,0.2,0.7,0.01,0.0,0.0,0.9725806451612903,0.25387096774193546
100,0.2,barabassi,0.2,0.8,0.01,0.0,0.0,0.9725806451612903,0.25387096774193546
100,0.2,barabassi,0.2,0.9,0.01,0.0,0.0,0.9725806451612903,0.25387096774193546
100,0.2,barabassi,0.2,1.0,0.01,0.0,0.0,0.9725806451612903,0.25387096774193546
100,0.2,barabassi,0.3,0.0,0.01,0.0,0.0,0.9725806451612903,0.3358064516129031
100,0.2,barabassi,0.3,0.1,0.01,0.0,0.0,0.9725806451612903,0.329032258064516
100,0.2,barabassi,0.3,0.2,0.01,0.0,0.0,0.9725806451612903,0.23709677419354844
100,0.2,barabassi,0.3,0.3,0.01,0.0,0.0,0.9725806451612903,0.23709677419354844
100,0.2,barabassi,0.3,0.4,0.01,0.0,0.0,0.9725806451612903,0.23709677419354844
100,0.2,barabassi,0.3,0.5,0.01,0.0,0.0,0.9725806451612903,0.23709677419354844
100,0.2,barabassi,0.3,0.6,0.01,0.0,0.0,0.9725806451612903,0.30354838709677423
100,0.2,barabassi,0.3,0.7,0.01,0.0,0.0,0.9725806451612903,0.25580645161290316
100,0.2,barabassi,0.3,0.8,0.01,0.0,0.0,0.9725806451612903,0.23709677419354844
100,0.2,barabassi,0.3,0.9,0.01,0.0,0.0,0.9725806451612903,0.23709677419354844
100,0.2,barabassi,0.3,1.0,0.01,0.0,0.0,0.9725806451612903,0.23709677419354844
100,0.2,barabassi,0.4,0.0,0.01,0.0,0.0,0.9725806451612903,0.25580645161290316
100,0.2,barabassi,0.4,0.1,0.01,0.0,0.0,0.9725806451612903,0.2980645161290323
100,0.2,barabassi,0.4,0.2,0.01,0.0,0.0,0.9725806451612903,0.42387096774193544
100,0.2,barabassi,0.4,0.3,0.01,0.0,0.0,0.9725806451612903,0.5387096774193549
100,0.2,barabassi,0.4,0.4,0.01,0.0,0.0,0.9725806451612903,0.3296774193548386
100,0.2,barabassi,0.4,0.5,0.01,0.0,0.0,0.9725806451612903,0.32322580645161286
100,0.2,barabassi,0.4,0.6,0.01,0.0,0.0,0.9725806451612903,0.2980645161290323
100,0.2,barabassi,0.4,0.7,0.01,0.0,0.0,0.9725806451612903,0.4493548387096776
100,0.2,barabassi,0.4,0.8,0.01,0.0,0.0,0.9725806451612903,0.2980645161290323
100,0.2,barabassi,0.4,0.9,0.01,0.0,0.0,0.9725806451612903,0.39483870967741924
100,0.2,barabassi,0.4,1.0,0.01,0.0,0.0,0.9725806451612903,0.30451612903225805
100,0.2,barabassi,0.5,0.0,0.01,0.0,0.0,0.9725806451612903,0.3564516129032256
100,0.2,barabassi,0.5,0.1,0.01,0.0,0.0,0.9725806451612903,0.25580645161290316
100,0.2,barabassi,0.5,0.2,0.01,0.0,0.0,0.9725806451612903,0.49903225806451595
100,0.2,barabassi,0.5,0.3,0.01,0.0,0.0,0.9725806451612903,0.25580645161290316
100,0.2,barabassi,0.5,0.4,0.01,0.0,0.0,0.9725806451612903,0.34935483870967726
100,0.2,barabassi,0.5,0.5,0.01,0.0,0.0,0.9725806451612903,0.3496774193548386
100,0.2,barabassi,0.5,0.6,0.01,0.0,0.0,0.9725806451612903,0.26161290322580644
100,0.2,barabassi,0.5,0.7,0.01,0.0,0.0,0.9725806451612903,0.49903225806451595
100,0.2,barabassi,0.5,0.8,0.01,0.0,0.0,0.9725806451612903,0.5235483870967742
100,0.2,barabassi,0.5,0.9,0.01,0.0,0.0,0.9725806451612903,0.5116129032258065
100,0.2,barabassi,0.5,1.0,0.01,0.0,0.0,0.9725806451612903,0.2648387096774194
100,0.2,barabassi,0.6,0.0,0.01,0.0,0.0,0.9725806451612903,0.580967741935484
100,0.2,barabassi,0.6,0.1,0.01,0.0,0.0,0.9725806451612903,0.5929032258064515
100,0.2,barabassi,0.6,0.2,0.01,0.0,0.0,0.9725806451612903,0.2909677419354839
100,0.2,barabassi,0.6,0.3,0.01,0.0,0.0,0.9725806451612903,0.5209677419354838
100,0.2,barabassi,0.6,0.4,0.01,0.0,0.0,0.9725806451612903,0.5329032258064516
100,0.2,barabassi,0.6,0.5,0.01,0.0,0.0,0.9725806451612903,0.4987096774193547
100,0.2,barabassi,0.6,0.6,0.01,0.0,0.0,0.9725806451612903,0.5645161290322582
100,0.2,barabassi,0.6,0.7,0.01,0.0,0.0,0.9725806451612903,0.2909677419354839
100,0.2,barabassi,0.6,0.8,0.01,0.0,0.0,0.9725806451612903,0.5351612903225808
100,0.2,barabassi,0.6,0.9,0.01,0.0,0.0,0.9725806451612903,0.5464516129032257
100,0.2,barabassi,0.6,1.0,0.01,0.0,0.0,0.9725806451612903,0.584516129032258
100,0.2,barabassi,0.7,0.0,0.01,0.0,0.0,0.9725806451612903,0.6129032258064515
100,0.2,barabassi,0.7,0.1,0.01,0.0,0.0,0.9725806451612903,0.5929032258064517
100,0.2,barabassi,0.7,0.2,0.01,0.0,0.0,0.9725806451612903,0.5122580645161291
100,0.2,barabassi,0.7,0.3,0.01,0.0,0.0,0.9725806451612903,0.6151612903225808
100,0.2,barabassi,0.7,0.4,0.01,0.0,0.0,0.9725806451612903,0.5700000000000001
100,0.2,barabassi,0.7,0.5,0.01,0.0,0.0,0.9725806451612903,0.6199999999999998
100,0.2,barabassi,0.7,0.6,0.01,0.0,0.0,0.9725806451612903,0.5948387096774193
100,0.2,barabassi,0.7,0.7,0.01,0.0,0.0,0.9725806451612903,0.6003225806451612
100,0.2,barabassi,0.7,0.8,0.01,0.0,0.0,0.9725806451612903,0.6229032258064515
