nodes,rho,network,beta,lambda,media,factor,physical_infectivity,hidden_infectivity,aware,infected
100,0.2,barabassi100,0.1,0.0,0.0,0.01,0.0,0.0,0.9272727272727272,0.28272727272727277
100,0.2,barabassi100,0.0,0.2,0.0,0.01,0.0,0.0,0.9272727272727272,0.2
100,0.2,barabassi100,0.0,0.6,0.0,0.01,0.0,0.0,0.9272727272727272,0.2
100,0.2,barabassi100,0.0,0.7,0.0,0.01,0.0,0.0,0.9272727272727272,0.2
100,0.2,barabassi100,0.0,0.4,0.0,0.01,0.0,0.0,0.9272727272727272,0.2
100,0.2,barabassi100,0.0,0.8,0.0,0.01,0.0,0.0,0.9272727272727272,0.2
100,0.2,barabassi100,0.0,0.0,0.0,0.01,0.0,0.0,0.9272727272727272,0.2
100,0.2,barabassi100,0.0,0.3,0.0,0.01,0.0,0.0,0.9272727272727272,0.2
100,0.2,barabassi100,0.0,1.0,0.0,0.01,0.0,0.0,0.9272727272727272,0.2
100,0.2,barabassi100,0.0,0.5,0.0,0.01,0.0,0.0,0.9272727272727272,0.2
100,0.2,barabassi100,0.0,0.9,0.0,0.01,0.0,0.0,0.9272727272727272,0.2
100,0.2,barabassi100,0.0,0.1,0.0,0.01,0.0,0.0,0.9272727272727272,0.2
100,0.2,barabassi100,0.1,0.1,0.0,0.01,0.0,0.0,0.9272727272727272,0.26545454545454544
100,0.2,barabassi100,0.2,0.1,0.0,0.01,0.0,0.0,0.9272727272727272,0.3663636363636364
100,0.2,barabassi100,0.2,0.0,0.0,0.01,0.0,0.0,0.9272727272727272,0.3418181818181818
100,0.2,barabassi100,0.1,0.5,0.0,0.01,0.0,0.0,0.9272727272727272,0.3181818181818182
100,0.2,barabassi100,0.1,0.4,0.0,0.01,0.0,0.0,0.9272727272727272,0.26454545454545453
100,0.2,barabassi100,0.1,0.7,0.0,0.01,0.0,0.0,0.9272727272727272,0.2963636363636364
100,0.2,barabassi100,0.1,0.2,0.0,0.01,0.0,0.0,0.9272727272727272,0.27090909090909093
100,0.2,barabassi100,0.1,0.3,0.0,0.01,0.0,0.0,0.9272727272727272,0.2863636363636364
100,0.2,barabassi100,0.1,0.8,0.0,0.01,0.0,0.0,0.9272727272727272,0.2918181818181818
100,0.2,barabassi100,0.1,1.0,0.0,0.01,0.0,0.0,0.9272727272727272,0.3181818181818182
100,0.2,barabassi100,0.1,0.9,0.0,0.01,0.0,0.0,0.9272727272727272,0.2990909090909091
100,0.2,barabassi100,0.1,0.6,0.0,0.01,0.0,0.0,0.9272727272727272,0.28545454545454546
100,0.2,barabassi100,0.2,0.3,0.0,0.01,0.0,0.0,0.9272727272727272,0.3690909090909091
100,0.2,barabassi100,0.2,0.2,0.0,0.01,0.0,0.0,0.9272727272727272,0.3263636363636364
100,0.2,barabassi100,0.2,0.4,0.0,0.01,0.0,0.0,0.9272727272727272,0.3709090909090909
100,0.2,barabassi100,0.2,0.8,0.0,0.01,0.0,0.0,0.9272727272727272,0.38181818181818183
100,0.2,barabassi100,0.3,0.1,0.0,0.01,0.0,0.0,0.9272727272727272,0.41545454545454547
100,0.2,barabassi100,0.2,0.6,0.0,0.01,0.0,0.0,0.9272727272727272,0.4027272727272727
100,0.2,barabassi100,0.3,0.0,0.0,0.01,0.0,0.0,0.9272727272727272,0.4509090909090909
100,0.2,barabassi100,0.2,0.5,0.0,0.01,0.0,0.0,0.9272727272727272,0.34545454545454546
100,0.2,barabassi100,0.2,0.9,0.0,0.01,0.0,0.0,0.9272727272727272,0.3790909090909091
100,0.2,barabassi100,0.3,0.2,0.0,0.01,0.0,0.0,0.9272727272727272,0.40090909090909094
100,0.2,barabassi100,0.2,1.0,0.0,0.01,0.0,0.0,0.9272727272727272,0.34545454545454546
100,0.2,barabassi100,0.2,0.7,0.0,0.01,0.0,0.0,0.9272727272727272,0.33181818181818185
100,0.2,barabassi100,0.3,0.4,0.0,0.01,0.0,0.0,0.9272727272727272,0.4190909090909091
100,0.2,barabassi100,0.3,0.3,0.0,0.01,0.0,0.0,0.9272727272727272,0.4063636363636363
100,0.2,barabassi100,0.3,1.0,0.0,0.01,0.0,0.0,0.9272727272727272,0.4327272727272727
